codeCPV_2,codeCPV_FR
03000000,"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes"
03100000,Produits agricoles et produits de l'horticulture
03110000,"Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
03111000,Graines
03111100,Graines de soja
03111200,Graines d'arachide
03111300,Graines de tournesol
03111400,Graines de coton
03111500,Graines de sésame
03111600,Graines de moutarde
03111700,Graines de légumes
03111800,Graines de fruits
03111900,Graines de fleurs
03112000,Tabacs non fabriqués
03113000,Plantes utilisées pour la fabrication du sucre
03113100,Betteraves sucrières
03113200,Canne à sucre
03114000,Paille et plantes fourragères
03114100,Paille
03114200,Plantes fourragères
03115000,Matières premières végétales
03115100,Matières premières végétales destinées à l'industrie textile
03115110,Coton
03115120,Jute
03115130,Lin
03116000,"Caoutchouc naturel, latex naturel et produits connexes"
03116100,Caoutchouc naturel
03116200,Latex naturel
03116300,Produits en latex
03117000,Plantes à usage spécifique
03117100,"Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire"
03117110,Plantes utilisées en parfumerie
03117120,Plantes utilisées en pharmacie
03117130,Plantes à usage insecticide
03117140,Plantes à usage fongicide ou à usage similaire
03117200,Graines de plantes à usage spécifique
03120000,Produits horticoles et produits de pépinières
03121000,Produits horticoles
03121100,"Plantes vivantes, bulbes, racines, boutures et greffons"
03121200,Fleurs coupées
03121210,Compositions florales
03130000,Plantes pour boissons et épices
03131000,Plantes pour boissons
03131100,Grains de café
03131200,Théiers
03131300,Maté
03131400,Fèves de cacao
03132000,Épices brutes
03140000,Produits animaux et produits connexes
03141000,Sperme de taureau
03142000,Produits de l'élevage
03142100,Miel naturel
03142200,Escargots
03142300,Produits alimentaires d'origine animale
03142400,Cires
03142500,Œufs
03143000,Produits de la polyculture
03144000,Fournitures pour l'agriculture
03200000,"Céréales, pommes de terre, légumes, fruits et noix"
03210000,Céréales et pommes de terre
03211000,Céréales
03211100,Blé
03211110,Blé dur
03211120,Blé tendre
03211200,Maïs
03211300,Riz
03211400,Orge
03211500,Seigle
03211600,Avoine
03211700,Malt
03211900,Produits à graines
03212000,Pommes de terre et légumes secs
03212100,Pommes de terre
03212200,Légumes secs à cosse et à gousse
03212210,Légumes secs à cosse
03212211,Lentilles
03212212,Pois chiches
03212213,Pois secs
03212220,Légumes à gousse
03220000,"Légumes, fruits et noix"
03221000,Légumes
03221100,Légumes-racines et légumes-tubercules
03221110,Légumes-racines
03221111,Betteraves
03221112,Carottes
03221113,Oignons
03221114,Navets
03221120,Légumes-tubercules
03221200,Légumes-fruits
03221210,Haricots
03221211,Fèves
03221212,Haricots verts
03221213,Haricots d'Espagne
03221220,Pois
03221221,Petits pois
03221222,Mange-tout
03221230,Poivrons
03221240,Tomates
03221250,Courgettes
03221260,Champignons
03221270,Concombres
03221300,Légumes à feuilles
03221310,Laitues
03221320,Feuilles de salade
03221330,Artichauts
03221340,Épinards
03221400,Choux
03221410,Choux blancs
03221420,Choux-fleurs
03221430,Brocolis
03221440,Choux de Bruxelles
03222000,Fruits et fruits à coque
03222100,Fruits et fruits à coque tropicaux
03222110,Fruits tropicaux
03222111,Bananes
03222112,Ananas
03222113,Mangues
03222114,Dattes
03222115,Raisins secs
03222116,Figues
03222117,Avocats
03222118,Kiwis
03222120,Noix de coco
03222200,Agrumes
03222210,Citrons
03222220,Oranges
03222230,Pamplemousses
03222240,Tangerines
03222250,Citrons verts
03222300,Fruits non tropicaux
03222310,Baies
03222311,Raisins secs de Corinthe
03222312,Groseilles à maquereau
03222313,Fraises
03222314,Framboises
03222315,Canneberges
03222320,"Pommes, poires et coings"
03222321,Pommes
03222322,Poires
03222323,Coings
03222330,Fruits à noyau
